,M
0,-0.023535851
1,0.01642036
2,0.013136289
3,-0.023535851
4,0.0021893815
5,0.07060755
6,0.14614122
7,0.1724138
8,0.20853859
9,0.14504652
10,0.17952928
11,0.15051998
12,0.08593322
13,0.14778325
14,0.08538588
15,0.11548988
16,0.13847838
17,0.19211823
18,0.044334974
19,-0.067870826
20,-0.14778325
21,-0.16584565
22,-0.2736727
23,-0.3004926
24,-0.28680897
25,-0.24904214
26,-0.16365626
27,-0.019157087
28,0.007662835
29,0.07170224
30,0.016967706
31,-0.0005473454
32,0.008757526
33,0.0021893815
34,-0.074986316
35,-0.1242474
36,-0.1242474
37,-0.15708812
38,-0.12972085
39,0.017515052
40,-0.015873017
41,-0.026272578
42,-0.06294472
43,-0.07608101
44,-0.015873017
45,0.09797482
46,0.0049261083
47,-0.06622879
48,-0.124794744
49,-0.13136289
50,-0.08045977
51,-0.044334974
52,0.00821018
53,-0.025177887
54,-0.00711549
55,0.0060207993
56,-0.010399562
57,-0.05199781
58,-0.10454296
59,-0.24521072
60,-0.39244664
61,-0.31910235
62,-0.2605364
63,-0.17624521
64,-0.053639848
65,-0.09906951
66,-0.18281336
67,-0.23207444
68,-0.06951286
69,0.10454296
70,0.18281336
71,0.073891625
72,0.040503558
73,0.18390805
74,0.35303777
75,0.4039409
76,0.4428024
77,0.45046523
78,0.3847838
79,0.272578
80,0.25779969
81,0.2966612
82,0.29830322
83,0.16748768
84,0.041050903
85,-0.12315271
86,-0.17296115
87,-0.08538588
88,0.035030104
89,-0.060755335
90,-0.100164205
91,-0.08264915
92,0.0
93,0.046524357
94,-0.012588943
95,-0.09469075
96,-0.098522164
97,0.037219487
98,0.08374384
99,0.044334974
100,0.032293376
101,0.05473454
102,0.06458675
103,-0.025725232
104,-0.027914613
105,-0.015873017
106,0.1012589
107,0.14668857
108,0.0771757
109,0.04488232
110,0.07881773
111,-0.026272578
112,-0.13574165
113,-0.106185004
114,-0.093048714
115,-0.10946908
116,-0.00711549
117,0.042145595
